order_id,sku,week_index,qty_target,lower_pct,upper_pct,due_start_hour,due_end_hour,priority
120436-W0,120436,0,14801,0.9,1.1,0,167,3
120448-W0,120448,0,67200,0.9,1.1,0,167,3
120463-W0,120463,0,30000,0.9,1.1,0,167,3
120532-W0,120532,0,10000,0.9,1.1,0,167,3
280169-W0,280169,0,41600,0.9,1.1,0,167,3
280212-W0,280212,0,30000,0.9,1.1,0,167,3
280256-W0,280256,0,220000,0.9,1.1,0,167,3
280264-W0,280264,0,35000,0.9,1.1,0,167,3
280345-W0,280345,0,18608,0.9,1.1,0,167,3
280347-W0,280347,0,19919,0.9,1.1,0,167,3
280351-W0,280351,0,94000,0.9,1.1,0,167,3
280375-W0,280375,0,12940,0.9,1.1,0,167,3
280421-W0,280421,0,69500,0.9,1.1,0,167,3
280450-W0,280450,0,18000,0.9,1.1,0,167,3
280451-W0,280451,0,91200,0.9,1.1,0,167,3
280453-W0,280453,0,50000,0.9,1.1,0,167,3
280478-W0,280478,0,30000,0.9,1.1,0,167,3
280480-W0,280480,0,395000,0.9,1.1,0,167,3
280490-W0,280490,0,56800,0.9,1.1,0,167,3
280397-W0,280397,0,11800,0.9,1.1,0,167,3
280586-W0,280586,0,80000,0.9,1.1,0,167,3
280581-W0,280581,0,40000,0.9,1.1,0,167,3
280563-W0,280563,0,18000,0.9,1.1,0,167,3
280591-W0,280591,0,68500,0.9,1.1,0,167,3
280564-W0,280564,0,22700,0.9,1.1,0,167,3
280602-W0,280602,0,9000,0.9,1.1,0,167,3
280592-W0,280592,0,18000,0.9,1.1,0,167,3
280611-W0,280611,0,20000,0.9,1.1,0,167,3
280612-W0,280612,0,14000,0.9,1.1,0,167,3
280614-W0,280614,0,20000,0.9,1.1,0,167,3
280605-W0,280605,0,24850,0.9,1.1,0,167,3
280607-W0,280607,0,20000,0.9,1.1,0,167,3
570468-W0,570468,0,15500,0.9,1.1,0,167,3
120436-W1,120436,1,20970,0.9,1.1,168,335,3
120437-W1,120437,1,33656,0.9,1.1,168,335,3
120448-W1,120448,1,118446,0.9,1.1,168,335,3
120450-W1,120450,1,10442,0.9,1.1,168,335,3
120532-W1,120532,1,13217,0.9,1.1,168,335,3
241283-W1,241283,1,30000,0.9,1.1,168,335,3
251200-W1,251200,1,10000,0.9,1.1,168,335,3
280107-W1,280107,1,50000,0.9,1.1,168,335,3
280213-W1,280213,1,53000,0.9,1.1,168,335,3
280256-W1,280256,1,185341,0.9,1.1,168,335,3
280264-W1,280264,1,132129,0.9,1.1,168,335,3
280324-W1,280324,1,26552,0.9,1.1,168,335,3
280348-W1,280348,1,21820,0.9,1.1,168,335,3
280351-W1,280351,1,156993,0.9,1.1,168,335,3
280421-W1,280421,1,36577,0.9,1.1,168,335,3
280451-W1,280451,1,25884,0.9,1.1,168,335,3
280452-W1,280452,1,35515,0.9,1.1,168,335,3
280453-W1,280453,1,20877,0.9,1.1,168,335,3
280480-W1,280480,1,397000,0.9,1.1,168,335,3
280490-W1,280490,1,34748,0.9,1.1,168,335,3
280572-W1,280572,1,30000,0.9,1.1,168,335,3
280580-W1,280580,1,30000,0.9,1.1,168,335,3
280583-W1,280583,1,45120,0.9,1.1,168,335,3
280566-W1,280566,1,20370,0.9,1.1,168,335,3
280591-W1,280591,1,19038,0.9,1.1,168,335,3
570223-W1,570223,1,47000,0.9,1.1,168,335,3
570261-W1,570261,1,185034,0.9,1.1,168,335,3
280622-W1,280622,1,20000,0.9,1.1,168,335,3
280610-W1,280610,1,18000,0.9,1.1,168,335,3
280698-W1,280698,1,12550,0.9,1.1,168,335,3
120437-W2,120437,2,20021,0.9,1.1,336,503,3
120448-W2,120448,2,39819,0.9,1.1,336,503,3
120532-W2,120532,2,13072,0.9,1.1,336,503,3
120536-W2,120536,2,9399,0.9,1.1,336,503,3
241283-W2,241283,2,30000,0.9,1.1,336,503,3
251200-W2,251200,2,12699,0.9,1.1,336,503,3
280090-W2,280090,2,10554,0.9,1.1,336,503,3
280103-W2,280103,2,42440,0.9,1.1,336,503,3
280104-W2,280104,2,42946,0.9,1.1,336,503,3
280121-W2,280121,2,18000,0.9,1.1,336,503,3
280212-W2,280212,2,54199,0.9,1.1,336,503,3
280256-W2,280256,2,167341,0.9,1.1,336,503,3
280264-W2,280264,2,21824,0.9,1.1,336,503,3
280323-W2,280323,2,18000,0.9,1.1,336,503,3
280324-W2,280324,2,78583,0.9,1.1,336,503,3
280348-W2,280348,2,19861,0.9,1.1,336,503,3
280351-W2,280351,2,174993,0.9,1.1,336,503,3
280421-W2,280421,2,39876,0.9,1.1,336,503,3
280451-W2,280451,2,30006,0.9,1.1,336,503,3
280453-W2,280453,2,36000,0.9,1.1,336,503,3
280478-W2,280478,2,63927,0.9,1.1,336,503,3
280480-W2,280480,2,76938,0.9,1.1,336,503,3
280490-W2,280490,2,114481,0.9,1.1,336,503,3
280559-W2,280559,2,32000,0.9,1.1,336,503,3
280572-W2,280572,2,50000,0.9,1.1,336,503,3
280584-W2,280584,2,30000,0.9,1.1,336,503,3
280585-W2,280585,2,101975,0.9,1.1,336,503,3
280586-W2,280586,2,34546,0.9,1.1,336,503,3
280581-W2,280581,2,34947,0.9,1.1,336,503,3
280566-W2,280566,2,21572,0.9,1.1,336,503,3
280563-W2,280563,2,18758,0.9,1.1,336,503,3
280590-W2,280590,2,112132,0.9,1.1,336,503,3
280602-W2,280602,2,23000,0.9,1.1,336,503,3
280617-W2,280617,2,22090,0.9,1.1,336,503,3
570261-W2,570261,2,91970,0.9,1.1,336,503,3
280605-W2,280605,2,10185,0.9,1.1,336,503,3
280607-W2,280607,2,12833,0.9,1.1,336,503,3
570560-W2,570560,2,35160,0.9,1.1,336,503,3
